date,rate,timestamp
2024-05-14,16127.826753,2024-05-13 23:59:59+00:00
2024-05-13,16044.964187,2024-05-12 23:59:47+00:00
2024-05-12,16055.0,2024-05-11 23:59:36+00:00
2024-05-11,16055.0,2024-05-10 23:59:36+00:00
2024-05-10,16025.822365,2024-05-09 23:59:36+00:00
2024-05-09,16080.869052,2024-05-08 23:59:59+00:00
2024-05-08,16084.621445,2024-05-07 23:59:59+00:00
2024-05-07,16042.177195,2024-05-06 23:59:43+00:00
2024-05-06,16083.818751,2024-05-05 23:59:43+00:00
2024-05-05,15968.7,2024-05-04 23:59:49+00:00
2024-05-04,15968.7,2024-05-03 23:59:49+00:00
2024-05-03,16094.8,2024-05-02 23:59:29+00:00
2024-05-02,16193.6,2024-05-01 23:59:29+00:00
2024-05-01,16279.0,2024-04-30 23:59:49+00:00
2024-04-30,16241.1,2024-04-29 23:59:49+00:00
2024-04-29,16210.043252,2024-04-28 23:59:49+00:00
2024-04-28,16240.556268,2024-04-27 23:59:34+00:00
2024-04-27,16240.556268,2024-04-26 23:59:42+00:00
2024-04-26,16208.0,2024-04-25 23:59:59+00:00
2024-04-25,16212.4,2024-04-24 23:59:43+00:00
2024-04-24,16156.55,2024-04-23 23:59:59+00:00
2024-04-23,16238.15,2024-04-22 23:59:35+00:00
2024-04-22,16223.385243,2024-04-21 23:59:42+00:00
2024-04-21,16218.25,2024-04-20 23:59:30+00:00
2024-04-20,16218.25,2024-04-19 23:59:30+00:00
2024-04-19,16228.250725,2024-04-18 23:59:59+00:00
2024-04-18,16263.298862,2024-04-17 23:59:59+00:00
2024-04-17,16337.110585,2024-04-16 23:59:59+00:00
2024-04-16,16082.05,2024-04-15 23:59:35+00:00
2024-04-15,16117.668405,2024-04-14 23:59:30+00:00
2024-04-14,16117.8,2024-04-13 23:59:54+00:00
2024-04-13,16117.8,2024-04-12 23:59:54+00:00
2024-04-12,16030.690458,2024-04-11 23:59:59+00:00
2024-04-11,16001.417728,2024-04-10 23:59:59+00:00
2024-04-10,15900.455171,2024-04-09 23:59:59+00:00
2024-04-09,15914.849871,2024-04-08 23:59:54+00:00
2024-04-08,15888.075526,2024-04-07 23:59:54+00:00
2024-04-07,15887.75,2024-04-06 23:59:34+00:00
2024-04-06,15887.75,2024-04-05 23:59:34+00:00
2024-04-05,15912.16319,2024-04-04 23:59:59+00:00
2024-04-04,15942.372766,2024-04-03 23:59:59+00:00
2024-04-03,15968.033208,2024-04-02 23:59:08+00:00
2024-04-02,15936.174304,2024-04-01 23:59:59+00:00
2024-04-01,15878.873331,2024-03-31 23:59:38+00:00
2024-03-31,15880.1,2024-03-30 23:59:50+00:00
2024-03-30,15880.1,2024-03-29 23:59:50+00:00
2024-03-29,15890.837893,2024-03-28 23:59:00+00:00
2024-03-28,15900.891378,2024-03-27 23:59:50+00:00
2024-03-27,15835.336528,2024-03-26 23:59:59+00:00
2024-03-26,15797.885906,2024-03-25 23:59:59+00:00
2024-03-25,15812.265575,2024-03-24 23:59:50+00:00
2024-03-24,15814.15,2024-03-23 23:59:36+00:00
2024-03-23,15814.15,2024-03-22 23:59:50+00:00
2024-03-22,15718.554043,2024-03-21 23:59:50+00:00
2024-03-21,15696.421817,2024-03-20 23:59:59+00:00
2024-03-20,15735.600645,2024-03-19 23:59:59+00:00
2024-03-19,15745.277697,2024-03-18 23:59:41+00:00
2024-03-18,15648.869016,2024-03-17 23:59:37+00:00
2024-03-17,15646.6,2024-03-16 23:59:51+00:00
2024-03-16,15646.6,2024-03-15 23:59:44+00:00
2024-03-15,15637.413344,2024-03-14 23:59:59+00:00
2024-03-14,15581.090671,2024-03-13 23:59:51+00:00
2024-03-13,15560.773624,2024-03-12 23:59:59+00:00
2024-03-12,15526.702204,2024-03-11 23:59:59+00:00
2024-03-11,15548.192983,2024-03-10 23:59:44+00:00
2024-03-10,15541.3,2024-03-09 23:59:50+00:00
2024-03-09,15541.3,2024-03-08 23:59:50+00:00
2024-03-08,15629.443888,2024-03-07 23:59:33+00:00
2024-03-07,15674.156438,2024-03-06 23:59:59+00:00
2024-03-06,15748.017506,2024-03-05 23:59:50+00:00
2024-03-05,15773.798417,2024-03-04 23:59:59+00:00
2024-03-04,15704.501558,2024-03-03 23:59:34+00:00
2024-03-03,15701.95,2024-03-02 23:59:22+00:00
2024-03-02,15701.95,2024-03-01 23:59:51+00:00
2024-03-01,15711.937183,2024-02-29 23:59:59+00:00
2024-02-29,15731.666566,2024-02-28 23:59:59+00:00
2024-02-28,15661.355292,2024-02-27 23:59:43+00:00
2024-02-27,15647.004698,2024-02-26 23:59:59+00:00
2024-02-26,15592.75842,2024-02-25 23:59:51+00:00
2024-02-25,15594.15,2024-02-24 23:59:58+00:00
2024-02-24,15594.15,2024-02-23 23:59:58+00:00
2024-02-23,15583.304726,2024-02-22 23:59:58+00:00
2024-02-22,15649.227859,2024-02-21 23:59:44+00:00
2024-02-21,15668.79848,2024-02-20 23:59:59+00:00
2024-02-20,15643.307813,2024-02-19 23:59:59+00:00
2024-02-19,15656.110445,2024-02-18 23:59:43+00:00
2024-02-18,15655.6,2024-02-17 23:59:34+00:00
2024-02-17,15655.6,2024-02-16 23:59:57+00:00
2024-02-16,15690.107871,2024-02-15 23:59:59+00:00
2024-02-15,15645.46063,2024-02-14 23:59:59+00:00
2024-02-14,15677.455629,2024-02-13 23:59:59+00:00
2024-02-13,15585.1491,2024-02-12 23:59:59+00:00
